instance,seed,cutoff,size,ref,rel_err,valid,wall_time
large8,34,60,1801,1785,0.0090,1,60.0830
large8,35,60,1801,1785,0.0090,1,60.0714
large8,36,60,1804,1785,0.0106,1,60.1203
large8,37,60,1795,1785,0.0056,1,60.0625
large8,38,60,1800,1785,0.0084,1,60.1027
large8,39,60,1801,1785,0.0090,1,60.0324
large8,40,60,1803,1785,0.0101,1,60.2579
large8,41,60,1803,1785,0.0101,1,60.0893
large8,42,60,1803,1785,0.0101,1,60.1198
large8,43,60,1810,1785,0.0140,1,60.0451
large8,44,60,1802,1785,0.0095,1,60.0332
large8,45,60,1808,1785,0.0129,1,60.0554
large8,46,60,1799,1785,0.0078,1,60.0583
large8,47,60,1804,1785,0.0106,1,60.0250
large8,48,60,1806,1785,0.0118,1,60.0216
large8,49,60,1798,1785,0.0073,1,60.0236
large8,50,60,1794,1785,0.0050,1,60.9781
large9,1,60,791,790,0.0013,1,60.1011
large9,2,60,791,790,0.0013,1,60.0927
large9,3,60,791,790,0.0013,1,60.1026
large9,4,60,791,790,0.0013,1,60.0350
large9,5,60,790,790,0.0000,1,60.1590
large9,6,60,791,790,0.0013,1,60.1603
large9,7,60,791,790,0.0013,1,60.1258
large9,8,60,791,790,0.0013,1,60.0655
large9,9,60,791,790,0.0013,1,60.2143
large9,10,60,791,790,0.0013,1,60.0458
large9,11,60,790,790,0.0000,1,60.0565
large9,12,60,790,790,0.0000,1,60.1220
large9,13,60,791,790,0.0013,1,60.0931
large9,14,60,790,790,0.0000,1,60.3268
large9,15,60,790,790,0.0000,1,60.0930
large9,16,60,791,790,0.0013,1,60.1784
large9,17,60,790,790,0.0000,1,60.1380
